event_code,event_id,event_time_cst,event_type,event_label,add_components,remove_components,joint_reason,source_urls,source_names,source_classes,source_local_statuses,verification_claims,verification_status,local_archive_status,topology_actions
P11,D2020_E03_LOCAL_INTERCITY,2020-11-30T00:00:00+08:00,multi-component service activation,Guangqing-Guangzhou East Ring through-running local intercity,GUANGQING_IC; GZ_EAST_RING_IC,,two jointly activated sections formed one officially through-running service,https://www.gz.gov.cn/zwfw/zxfw/content/post_6938832.html,Guangzhou Municipal Government,core event evidence,archived,Guangqing and Guangzhou East Ring local operation and multi-payment start,official_local_operator_and_multi_payment_activation,archived: Data/raw/transport/official_sources/d_date_scope/gz_local_intercity_20201130.html; sha256=ca36fc973249f7a846fe030d7226076a37660be3412a5b92855cc758097965ee,"add GUANGQING_IC, GZ_EAST_RING_IC"
P12,D2020_E04_GZ_TRAM_HP1_FULL,2020-12-28T00:00:00+08:00,line_section activation,Huangpu Tram 1 completion to Xiangxue,GZ_TRAM_HP1_FULL,,single official activation,https://ghzyj.gz.gov.cn/attachment/7/7387/7387273/7756059.pdf,GZ_TRAM_HP1_FULL_ANNUAL_REPORT,post-outcome primary-source persistence attempt,archived,event/date/topology provenance persistence,post-outcome provenance-persistence supplement; event/date/topology/results unchanged,archived: Data/raw/transport/official_sources/d_event_source_supplement/gz_tram_hp1_full_annual_report.pdf; sha256=1ed4b8f69451ffc39000409fde54d698dcaeb987ceb0ea03d638560e13cb9499,add GZ_TRAM_HP1_FULL
P13,D2021_E01_FS_TRAM_NH1_FIRST,2021-08-18T00:00:00+08:00,line_section activation,Nanhai Tram 1 first section,FS_TRAM_NH1_FIRST,,single official activation,https://td.gd.gov.cn/gkmlpt/content/4/4055/post_4055183.html | https://huacheng.gz-cmc.com/pages/2021/08/18/d0f170b07d6d47158e05ffd4bd2c96ab.html | https://www.cscec.com/zgjz_new/xwzx_new/zqydt_new/202108/3386101.html,FS_TRAM_NH1_GD_TRANSPORT | Guangzhou Daily Huacheng | China State Construction Engineering Corporation,post-outcome primary-source persistence attempt | municipal state-media institutional record | state-owned project participant institutional record,HTTP 404 | archived replacement | archived replacement,event/date/topology provenance persistence | first section opened to the public at noon on 2021-08-18 | first section formally opened on 2021-08-18,post-outcome provenance-persistence supplement; event/date/topology/results unchanged | post-review institutional replacement; event/date/topology/results unchanged,archive_failed_http_404: Data/raw/transport/official_sources/d_event_source_supplement/fs_tram_nh1_openings_gd_transport.html; sha256=none | archived_postreview_replacement: Data/raw/transport/official_sources/d_event_source_postreview_20260827/fs_tram_nh1_first_huacheng.html; sha256=8ee5a2090b50b9131e80b0ec280b30b266147cb8a1a6734c28b09ec4c95381dd | archived_postreview_replacement: Data/raw/transport/official_sources/d_event_source_postreview_20260827/fs_tram_nh1_first_cscec.html; sha256=adebe4d9165f9f2ee4893d8e9ff535f8f04df1efaef5bba325a4e8ef6a2c250e,add FS_TRAM_NH1_FIRST
P14,D2021_E02_GZ_M18_FIRST,2021-09-28T14:00:00+08:00,line_section activation,Guangzhou Line 18 first section,GZ_M18_FIRST,,single official activation,https://www.gz.gov.cn/zt/jrshts/2021n/gqj/zxxx/jt/content/post_7811714.html,Guangzhou Municipal Government,core event evidence,archived,Line 18 first section opening at 14:00,official_municipal_opening_notice,archived: Data/raw/transport/official_sources/d_date_scope/gz_m18_opening_20210928.html; sha256=320971033a8206425d427fb64064199ed4d32a61d5533525e60d5b0e8edfea8a,add GZ_M18_FIRST
P15,D2021_E03_FS_M2_PHASE1,2021-12-28T12:00:00+08:00,line_section activation,Foshan Metro Line 2 phase 1,FS_M2_PHASE1,,single official activation,https://www.ndrc.gov.cn/fggz/zcssfz/dffz/202202/t20220228_1317858_ext.html,FS_M2_PHASE1_NDRC,post-outcome primary-source persistence attempt,archived,event/date/topology provenance persistence,post-outcome provenance-persistence supplement; event/date/topology/results unchanged,archived: Data/raw/transport/official_sources/d_event_source_supplement/fs_m2_phase1_ndrc.html; sha256=76ed2cbdf8e2aa0cb4dc2e017dc6a0b43636e852abe5c45af422a16294689c47,add FS_M2_PHASE1
P16,D2022_E01_GZ_M22_FIRST,2022-03-31T00:00:00+08:00,line_section activation,Guangzhou Line 22 first section,GZ_M22_FIRST,,single official activation,https://www.gz.gov.cn/zwfw/zxfw/content/post_8163126.html,Guangzhou Municipal Government,core event evidence,archived,Line 22 first section opening,official_municipal_opening_notice,archived: Data/raw/transport/official_sources/d_date_scope/gz_m22_opening_20220331.html; sha256=28560febf9256b457f32bf90430abe4582f1204e33bfcd34a9138e191b42a207,add GZ_M22_FIRST
P17,D2022_E02_GZ_M7_WEST,2022-05-01T14:00:00+08:00,line_section activation,Guangzhou Line 7 western extension,GZ_M7_WEST,,single official activation,https://www.ndrc.gov.cn/fggz/zcssfz/dffz/202207/t20220729_1332236.html,GZ_M7_WEST_NDRC,post-outcome primary-source persistence attempt,archived,event/date/topology provenance persistence,post-outcome provenance-persistence supplement; event/date/topology/results unchanged,archived: Data/raw/transport/official_sources/d_event_source_supplement/gz_m7_west_ndrc.html; sha256=ee097248367cdada0426d6c4285825d1c820b07a1c8a512cb49e292eded1e85c,add GZ_M7_WEST
P18,D2022_E03_GZ_M8_RAINBOW,2022-09-28T00:00:00+08:00,station/transfer activation,Rainbow Bridge infill station activation,GZ_M8_RAINBOW_BRIDGE,,single station activation,https://www.gz.gov.cn/zt/jrshts/2022n/gqj/tpxw/content/post_8587040.html,Guangzhou Municipal Government,core event evidence,archived,Line 8 Rainbow Bridge station opening from first train,official_municipal_opening_notice,archived: Data/raw/transport/official_sources/d_date_scope/gz_m8_rainbow_bridge_20220928.html; sha256=15faa3d4ac8c01bde300346f6c9c4ae1f6a6620cbf6aa0b37efd426714aa4030,add GZ_M8_RAINBOW_BRIDGE
P19,D2022_E04_FS_TRAM_NH1_FULL,2022-11-29T12:00:00+08:00,line_section activation,Nanhai Tram 1 completion,FS_TRAM_NH1_REMAINDER,,single official activation,https://td.gd.gov.cn/gkmlpt/content/4/4055/post_4055183.html | https://www.cscec.com/xwzx_new/zqydt_new/202212/3604924.html,FS_TRAM_NH1_GD_TRANSPORT | China State Construction Engineering Corporation,post-outcome primary-source persistence attempt | state-owned project participant institutional record,HTTP 404 | archived replacement,event/date/topology provenance persistence | remaining section entered service and the line became complete on 2022-11-29,post-outcome provenance-persistence supplement; event/date/topology/results unchanged | post-review institutional replacement; event/date/topology/results unchanged,archive_failed_http_404: Data/raw/transport/official_sources/d_event_source_supplement/fs_tram_nh1_openings_gd_transport.html; sha256=none | archived_postreview_replacement: Data/raw/transport/official_sources/d_event_source_postreview_20260827/fs_tram_nh1_full_cscec.html; sha256=a3222a116a40ae7be9eef0ad93b71ae187d290f7dba03a2305cbff23f989646b,add FS_TRAM_NH1_REMAINDER
P20,D2022_E05_FS_M3_FIRST,2022-12-28T00:00:00+08:00,line_section activation,Foshan Metro Line 3 first section,FS_M3_FIRST,,single official activation,https://www.ndrc.gov.cn/fggz/zcssfz/dffz/202302/t20230228_1350080.html,FS_M3_FIRST_NDRC,post-outcome primary-source persistence attempt,archived,event/date/topology provenance persistence,post-outcome provenance-persistence supplement; event/date/topology/results unchanged,archived: Data/raw/transport/official_sources/d_event_source_supplement/fs_m3_first_ndrc.html; sha256=1fde2497abe87966568b762caa1fc12141e687f3e8e0dbc4098314f8e664e857,add FS_M3_FIRST
P21,D2022_E06_GZ_M8_XICUN,2022-12-28T00:00:00+08:00,station/transfer activation,Xicun station and Line 5 transfer activation,GZ_M8_XICUN,,single station and transfer activation,https://www.gz.gov.cn/zwfw/zxfw/jtfw/content/post_8729201.html,Guangzhou Municipal Government,core event evidence,archived,Line 8 Xicun station and Line 5 transfer activation,official_municipal_opening_notice,archived: Data/raw/transport/official_sources/d_date_scope/gz_m8_xicun_20221228.html; sha256=d773970cf00e3e2ca9042cff7f97195320117d3db35dae6fdcb1f98d3c458163,add GZ_M8_XICUN
P22,D2023_E01_GZ_M5_EAST,2023-12-28T12:00:00+08:00,line_section activation,Guangzhou Line 5 eastern extension,GZ_M5_EAST,,single official activation,https://www.gz.gov.cn/zwfw/zxfw/jtfw/content/post_9409437.html,GZ_M5_M7_2023_GZGOV,post-outcome primary-source persistence attempt,archived,event/date/topology provenance persistence,post-outcome provenance-persistence supplement; event/date/topology/results unchanged,archived: Data/raw/transport/official_sources/d_event_source_supplement/gz_m5_m7_2023_gzgov.html; sha256=f40905c66a1f89a46dcc7c5ee59a28baa107614ac7b6a0ac10c61bc0f5d8daa8,add GZ_M5_EAST
P23,D2023_E02_GZ_M7_PHASE2,2023-12-28T12:00:00+08:00,line_section activation,Guangzhou Line 7 phase 2,GZ_M7_PHASE2,,single official activation; separate route despite same opening time,https://www.gz.gov.cn/zwfw/zxfw/jtfw/content/post_9409437.html,GZ_M5_M7_2023_GZGOV,post-outcome primary-source persistence attempt,archived,event/date/topology provenance persistence,post-outcome provenance-persistence supplement; event/date/topology/results unchanged,archived: Data/raw/transport/official_sources/d_event_source_supplement/gz_m5_m7_2023_gzgov.html; sha256=f40905c66a1f89a46dcc7c5ee59a28baa107614ac7b6a0ac10c61bc0f5d8daa8,add GZ_M7_PHASE2
P24,D2024_E01_FOUR_LINE_INTERCITY,2024-05-26T12:00:00+08:00,multi-component service activation,Four-line Greater Bay Area local intercity integration,GUANGFO_SOUTH_RING_IC; FOGUAN_IC; GUANHUI_IC_LOCAL_ACTIVATION; GUANGFOZHAO_IC_LOCAL_ACTIVATION,,four sections jointly entered one official through-running local service,https://www.gz.gov.cn/zwfw/zxfw/jtfw/content/post_9669108.html,Guangzhou Municipal Government,core event evidence,archived,"Four-line local operation, through-running and multi-payment start",official_local_operator_multi_payment_activation,archived: Data/raw/transport/official_sources/d_date_scope/gz_local_intercity_four_line_20240526.html; sha256=4491ab4657b3b3140069e945a9c794ffcee3c3eaf9347d438357ec5beaeb4345,"add GUANGFO_SOUTH_RING_IC, FOGUAN_IC, GUANHUI_IC_LOCAL_ACTIVATION, GUANGFOZHAO_IC_LOCAL_ACTIVATION"
P25,D2024_E02_GAOMING_SUSPENSION,2024-08-06T00:00:00+08:00,service suspension,Gaoming Tram suspension,,FS_TRAM_GM1,official year-end-active service suspension; negative event,https://crrcgc.cc/crrcgc/2020-01/07/article_D42124F3812546CDB836432DA7692DA3.html | https://m.mp.oeeee.com/a/BAAFRD000020240805983136.html,source URL | Southern Metropolis Daily verbatim republication of the operator notice,core event evidence | core event evidence,URL only | archived, | Verbatim operator notice for the Gaoming tram suspension from 2024-08-06,opening_primary_plus_operator_suspension_notice_verbatim_republication,not_locally_bound_in_core_archive: none; sha256=none | archived: Data/raw/transport/official_sources/d_date_scope/fs_tram_gm1_suspension_20240806_operator_notice_reprint.html; sha256=258cbb79ab8111d8f83db56916336e14bedc12252b920339a4c0a85b02c42771,remove FS_TRAM_GM1
P26,D2024_E03_FS_M3_TWO_SECTIONS,2024-08-23T06:30:00+08:00,multi-component service activation,Foshan Metro Line 3 central and northern sections,FS_M3_CENTRAL_2024; FS_M3_NORTH_2024,,"same-time pieces of one official line opening, including the temporary disconnected northern section",https://www.foshannews.net/fsxwfb/2017/lcfbh/fbh1102_40754/ | https://www.chinanews.com.cn/cj/2024/08-23/10273369.shtml,FS_M3_2024_PRESS_CONFERENCE | China News Service state media carrying the contemporaneous opening report,post-outcome primary-source persistence attempt | core event evidence,archived | archived,event/date/topology provenance persistence | Contemporaneous 06:30 opening and disconnected-section evidence for Foshan Line 3,post-outcome provenance-persistence supplement; event/date/topology/results unchanged | municipal_press_conference_plus_contemporaneous_state_media_exact_time_and_segments_agree,archived: Data/raw/transport/official_sources/d_event_source_supplement/fs_m3_2024_press_conference.html; sha256=af7ff6e62c6f45727c7959dae697c0f067622bf750edde1601cc7f9f786387ca | archived: Data/raw/transport/official_sources/d_date_scope/fs_m3_two_sections_opening_20240823_chinanews.html; sha256=a06e2f1890678d1a9bc1a33aa455324a7f52584b785aee24255804211988effb,"add FS_M3_CENTRAL_2024, FS_M3_NORTH_2024"
P27,D2024_E04_GZ_M3_EAST,2024-11-01T00:00:00+08:00,line_section activation,Guangzhou Line 3 eastern extension,GZ_M3_EAST,,single official activation,https://ghzyj.gz.gov.cn/attachment/7/7806/7806901/10233239.pdf,GZ_2024_RAIL_ANNUAL_REPORT,post-outcome primary-source persistence attempt,archived,event/date/topology provenance persistence,post-outcome provenance-persistence supplement; event/date/topology/results unchanged,archived: Data/raw/transport/official_sources/d_event_source_supplement/gz_2024_rail_annual_report.pdf; sha256=6dc605e18873f523227a1bcb9c35e7340c1bab58d8fb1ef5abc9c02cd437eb71,add GZ_M3_EAST
P28,D2024_E05_HZ1_TOWER_CLOSURE,2024-11-13T00:00:00+08:00,station-section closure,Haizhu Tram Tower station section closure,,GZ_TRAM_HZ1_TOWER_CLOSURE,official year-end-active construction suspension; negative event,https://ghzyj.gz.gov.cn/attachment/7/7806/7806901/10233239.pdf,GZ_2024_RAIL_ANNUAL_REPORT,post-outcome primary-source persistence attempt,archived,event/date/topology provenance persistence,post-outcome provenance-persistence supplement; event/date/topology/results unchanged,archived: Data/raw/transport/official_sources/d_event_source_supplement/gz_2024_rail_annual_report.pdf; sha256=6dc605e18873f523227a1bcb9c35e7340c1bab58d8fb1ef5abc9c02cd437eb71,"remove GZ_TRAM_HZ1_TOWER_CLOSURE | close stations 广州塔, 广州塔东; remove incident edges=true"
P29,D2024_E06_GZ_M11_SHAHE,2024-12-28T00:00:00+08:00,opening + topology reassignment,"Guangzhou Line 11 loop, Shahe activation and Line 21 topology reassignment",GZ_M11_LOOP; GZ_M6_SHAHE,,"same-time operationally inseparable loop opening, station activation and route reassignment",https://ghzyj.gz.gov.cn/attachment/7/7806/7806901/10233239.pdf | https://www.gz.gov.cn/zwfw/zxfw/jtfw/content/post_10050312.html,GZ_2024_RAIL_ANNUAL_REPORT | Guangzhou Municipal Government,post-outcome primary-source persistence attempt | core event evidence,archived | archived,event/date/topology provenance persistence | Passenger opening of the Line 6 Shahe infill station with Line 11,post-outcome provenance-persistence supplement; event/date/topology/results unchanged | official_municipal_opening_report,archived: Data/raw/transport/official_sources/d_event_source_supplement/gz_2024_rail_annual_report.pdf; sha256=6dc605e18873f523227a1bcb9c35e7340c1bab58d8fb1ef5abc9c02cd437eb71 | archived: Data/raw/transport/official_sources/d_date_scope/gz_m6_shahe_opening_20241228.html; sha256=5488b65fb0678c39f273ba7f71c226dbea5c5c5f48ea4eae92e6b3a561cf70e5,"add GZ_M11_LOOP, GZ_M6_SHAHE | replace GZ_M21_WEST: remove GZ_M21_HISTORICAL_YUANCUN; retain GZ_M21_MAIN | end GZ_M21_HISTORICAL_YUANCUN sequence continuity after 2023 | retain GZ_M21_MAIN Tianhe Park-Zengcheng Square | activate Line 11 loop and Shahe passenger transfer"
